id,title,description,link,image_link,availability,price_czk,google_product_category,brand,product_type,rank,Doporučený věk,Doporučené použití,Doporučený povrch,Balení míčků,Typ míče,item_group_id,link_master,image_link_master
85168,Dětské tenisové míče Tecnifibre  Mini 36 Pack,"Dětské tenisové míče tecnifibre  mini 36 pack  jsou tenisáky pro děti. Tenisové míče pro děti jsou větší a lehčí, aby nejmenším tenistům usnadnily nácvik techniky a fyzicky nezatěžovaly ruce. Perfektně se hodí pro tenisové trenéry a kluby právě na trénink dětí. Tlakované tenisové míče s větší pružností",https://www.sportega.cz/detske-tenisove-mice-tecnifibre-mini-36-pack/d85168,https://www.sportega.cz/detske-tenisove-mice-tecnifibre-mini-36-pack-85168.jpg,in stock,1799 CZK,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Tecnifibre,Sportega > Tenis > Míčky > Míče pro děti,1952,8-9 let,tréninkové nasazení,všechny povrchy,36 ks,Tlakovaný,85168,https://www.sportega.cz/detske-tenisove-mice-tecnifibre-mini-36-pack/d85168,https://www.sportega.cz/detske-tenisove-mice-tecnifibre-mini-36-pack-85168.jpg
78144,Tenisové míče Babolat  Team Clay,"Tenisové míče babolat  team clay  jsou tenisové míčky pro pestrou hru. Pamatuj, že míčky postupem času ztrácí své vlastnosti a je potřeba je pravidelně měnit, proto neuděláš chybu, pokud si koupíš dvě tři dózy do zásoby.",https://www.sportega.cz/tenisove-mice-babolat-team-clay/d78144,https://www.sportega.cz/tenisove-mice-babolat-team-clay-78144.jpg,in stock,259 CZK,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Babolat,Sportega > Tenis > Míčky,13251,,zápasové a turnajové nasazení,všechny povrchy,dóza po 4 ks,Tlakovaný,78144,https://www.sportega.cz/tenisove-mice-babolat-team-clay/d78144,https://www.sportega.cz/tenisove-mice-babolat-team-clay-78144.jpg
78146,Tenisové míče Babolat  Team All Court,"Tenisové míče babolat  team all court  jsou tenisové míčky pro pestrou hru. Pamatuj, že míčky postupem času ztrácí své vlastnosti a je potřeba je pravidelně měnit, proto neuděláš chybu, pokud si koupíš dvě tři dózy do zásoby.",https://www.sportega.cz/tenisove-mice-babolat-team-all-court/d78146,https://www.sportega.cz/tenisove-mice-babolat-team-all-court-78146.jpg,in stock,219 CZK,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Babolat,Sportega > Tenis > Míčky,11713,,zápasové a turnajové nasazení,všechny povrchy,dóza po 4 ks,Tlakovaný,78146,https://www.sportega.cz/tenisove-mice-babolat-team-all-court/d78146,https://www.sportega.cz/tenisove-mice-babolat-team-all-court-78146.jpg
78145,Tenisové míče Babolat  Team,"Tenisové míče babolat  team  jsou tenisové míčky pro pestrou hru. Pamatuj, že míčky postupem času ztrácí své vlastnosti a je potřeba je pravidelně měnit, proto neuděláš chybu, pokud si koupíš dvě tři dózy do zásoby.",https://www.sportega.cz/tenisove-mice-babolat-team/d78145,https://www.sportega.cz/tenisove-mice-babolat-team-78145.jpg,in stock,249 CZK,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Babolat,Sportega > Tenis > Míčky,6341,,zápasové a turnajové nasazení,všechny povrchy,dóza po 4 ks,Tlakovaný,78145,https://www.sportega.cz/tenisove-mice-babolat-team/d78145,https://www.sportega.cz/tenisove-mice-babolat-team-78145.jpg
3324,Tenisové míče Tecnifibre  XLD (4 Pack),"Tenisové míče tecnifibre  xld (4 pack)  jsou tenisové míčky pro pestrou hru. Pamatuj, že míčky postupem času ztrácí své vlastnosti a je potřeba je pravidelně měnit, proto neuděláš chybu, pokud si koupíš dvě tři dózy do zásoby.",https://www.sportega.cz/tenisove-mice-tecnifibre-xld-4-pack/d3324,https://www.sportega.cz/tenisove-mice-tecnifibre-xld-4-pack-3324.jpg,in stock,199 CZK,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Tecnifibre,Sportega > Tenis > Míčky,3843,,"zápasové a turnajové nasazení,tréninkové nasazení,volný čas",všechny povrchy,dóza po 4 ks,Netlakovaný,3324,https://www.sportega.cz/tenisove-mice-tecnifibre-xld-4-pack/d3324,https://www.sportega.cz/tenisove-mice-tecnifibre-xld-4-pack-3324.jpg
69844,Tenisové míče Dunlop  ATP Championship (4 Pack),"Tenisové míče dunlop  atp championship (4 pack)  jsou tenisové míčky pro pestrou hru. Pamatuj, že míčky postupem času ztrácí své vlastnosti a je potřeba je pravidelně měnit, proto neuděláš chybu, pokud si koupíš dvě tři dózy do zásoby.",https://www.sportega.cz/tenisove-mice-dunlop-atp-championship-4-pack/d69844,https://www.sportega.cz/tenisove-mice-dunlop-atp-championship-4-pack-69844.jpg,in stock,169 CZK,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Dunlop,Sportega > Tenis > Míčky,24804,,tréninkové nasazení,všechny povrchy,dóza po 4 ks,Tlakovaný,69844,https://www.sportega.cz/tenisove-mice-dunlop-atp-championship-4-pack/d69844,https://www.sportega.cz/tenisove-mice-dunlop-atp-championship-4-pack-69844.jpg
56056,Tenisové míče Head  Team 3B (3 Pack),"Tenisové míče head  team 3b (3 pack)  jsou tenisové míčky pro pestrou hru. Pamatuj, že míčky postupem času ztrácí své vlastnosti a je potřeba je pravidelně měnit, proto neuděláš chybu, pokud si koupíš dvě tři dózy do zásoby.",https://www.sportega.cz/tenisove-mice-head-team-3b-3-pack/d56056,https://www.sportega.cz/tenisove-mice-head-team-3b-3-pack-56056.jpg,in stock,99 CZK,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Head,Sportega > Tenis > Míčky,7182,,"tréninkové nasazení,volný čas",všechny povrchy,dóza po 3 ks,Tlakovaný,56056,https://www.sportega.cz/tenisove-mice-head-team-3b-3-pack/d56056,https://www.sportega.cz/tenisove-mice-head-team-3b-3-pack-56056.jpg
65052,Tenisové míče Wilson  Tour Premier All Court (3 Pack),"Tenisové míče wilson  tour premier all court (3 pack)  jsou tenisové míčky pro pestrou hru. Pamatuj, že míčky postupem času ztrácí své vlastnosti a je potřeba je pravidelně měnit, proto neuděláš chybu, pokud si koupíš dvě tři dózy do zásoby.",https://www.sportega.cz/tenisove-mice-wilson-tour-premier-all-court-3-pack/d65052,https://www.sportega.cz/tenisove-mice-wilson-tour-premier-all-court-3-pack-65052.jpg,in stock,159 CZK,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Wilson,Sportega > Tenis > Míčky,413,,"zápasové a turnajové nasazení,tréninkové nasazení",všechny povrchy,dóza po 3 ks,Tlakovaný,65052,https://www.sportega.cz/tenisove-mice-wilson-tour-premier-all-court-3-pack/d65052,https://www.sportega.cz/tenisove-mice-wilson-tour-premier-all-court-3-pack-65052.jpg
9618,Tenisové míče Head  Pro (3 Pack),"Tenisové míče head  pro (3 pack)  jsou tenisové míčky pro pestrou hru. Pamatuj, že míčky postupem času ztrácí své vlastnosti a je potřeba je pravidelně měnit, proto neuděláš chybu, pokud si koupíš dvě tři dózy do zásoby.",https://www.sportega.cz/tenisove-mice-head-pro-3-pack/d9618,https://www.sportega.cz/tenisove-mice-head-pro-3-pack-9618.jpg,in stock,139 CZK,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Head,Sportega > Tenis > Míčky,10962,,zápasové a turnajové nasazení,všechny povrchy,dóza po 3 ks,Tlakovaný,9618,https://www.sportega.cz/tenisove-mice-head-pro-3-pack/d9618,https://www.sportega.cz/tenisove-mice-head-pro-3-pack-9618.jpg
23707,Dětské tenisové míče Wilson  Starter Orange (48 Pack) - 8-10 Years,"Dětské tenisové míče wilson  starter orange (48 pack) - 8-10 years  jsou tenisáky pro děti. Tenisové míče pro děti jsou větší a lehčí, aby nejmenším tenistům usnadnily nácvik techniky a fyzicky nezatěžovaly ruce. Perfektně se hodí pro tenisové trenéry a kluby právě na trénink dětí. Tlakované tenisové míče s větší pružností",https://www.sportega.cz/detske-tenisove-mice-wilson-starter-orange-48-pack-8-10-years/d23707,https://www.sportega.cz/detske-tenisove-mice-wilson-starter-orange-48-pack-8-10-years-23707.jpg,in stock,2199 CZK,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Wilson,Sportega > Tenis > Míčky > Míče pro děti,1370,8-9 let,"tréninkové nasazení,volný čas,školní aktivity",všechny povrchy,48 ks,Tlakovaný,23707,https://www.sportega.cz/detske-tenisove-mice-wilson-starter-orange-48-pack-8-10-years/d23707,https://www.sportega.cz/detske-tenisove-mice-wilson-starter-orange-48-pack-8-10-years-23707.jpg
