id,title,description,link,image_link,availability,price_czk,google_product_category,brand,product_type,rank,Doporučené použití,Doporučený povrch,Balení míčků,Typ míče,item_group_id,link_master,image_link_master,group_title,unit_price_czk,age_min,age_max
69844,Dunlop ATP Championship (4 Pack),"Tenisové míče dunlop atp championship (4 pack) jsou tenisové míčky pro pestrou hru. Pamatuj, že míčky postupem času ztrácí své vlastnosti a je potřeba je pravidelně měnit, proto neuděláš chybu, pokud si koupíš dvě tři dózy do zásoby.",https://www.sportega.cz/tenisove-mice-dunlop-atp-championship-4-pack/d69844,https://www.sportega.cz/tenisove-mice-dunlop-atp-championship-4-pack-69844.jpg,in stock,169.0,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Dunlop,Sportega > Tenis > Míčky,24804,tréninkové nasazení,všechny povrchy,4.0,Tlakovaný,69844,https://www.sportega.cz/tenisove-mice-dunlop-atp-championship-4-pack/d69844,https://www.sportega.cz/tenisove-mice-dunlop-atp-championship-4-pack-69844.jpg,Dunlop ATP Championship (4 Pack),42.25,,
56056,Head Team 3B (3 Pack),"Tenisové míče head team 3b (3 pack) jsou tenisové míčky pro pestrou hru. Pamatuj, že míčky postupem času ztrácí své vlastnosti a je potřeba je pravidelně měnit, proto neuděláš chybu, pokud si koupíš dvě tři dózy do zásoby.",https://www.sportega.cz/tenisove-mice-head-team-3b-3-pack/d56056,https://www.sportega.cz/tenisove-mice-head-team-3b-3-pack-56056.jpg,in stock,99.0,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Head,Sportega > Tenis > Míčky,7182,"tréninkové nasazení,volný čas",všechny povrchy,3.0,Tlakovaný,56056,https://www.sportega.cz/tenisove-mice-head-team-3b-3-pack/d56056,https://www.sportega.cz/tenisove-mice-head-team-3b-3-pack-56056.jpg,Head Team 3B (3 Pack),33.0,,
65052,Wilson Tour Premier All Court (3 Pack),"Tenisové míče wilson tour premier all court (3 pack) jsou tenisové míčky pro pestrou hru. Pamatuj, že míčky postupem času ztrácí své vlastnosti a je potřeba je pravidelně měnit, proto neuděláš chybu, pokud si koupíš dvě tři dózy do zásoby.",https://www.sportega.cz/tenisove-mice-wilson-tour-premier-all-court-3-pack/d65052,https://www.sportega.cz/tenisove-mice-wilson-tour-premier-all-court-3-pack-65052.jpg,in stock,159.0,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Wilson,Sportega > Tenis > Míčky,413,"zápasové a turnajové nasazení,tréninkové nasazení",všechny povrchy,3.0,Tlakovaný,65052,https://www.sportega.cz/tenisove-mice-wilson-tour-premier-all-court-3-pack/d65052,https://www.sportega.cz/tenisove-mice-wilson-tour-premier-all-court-3-pack-65052.jpg,Wilson Tour Premier All Court (3 Pack),53.0,,
9618,Head Pro (3 Pack),"Tenisové míče head pro (3 pack) jsou tenisové míčky pro pestrou hru. Pamatuj, že míčky postupem času ztrácí své vlastnosti a je potřeba je pravidelně měnit, proto neuděláš chybu, pokud si koupíš dvě tři dózy do zásoby.",https://www.sportega.cz/tenisove-mice-head-pro-3-pack/d9618,https://www.sportega.cz/tenisove-mice-head-pro-3-pack-9618.jpg,in stock,139.0,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Head,Sportega > Tenis > Míčky,10962,zápasové a turnajové nasazení,všechny povrchy,3.0,Tlakovaný,9618,https://www.sportega.cz/tenisove-mice-head-pro-3-pack/d9618,https://www.sportega.cz/tenisove-mice-head-pro-3-pack-9618.jpg,Head Pro (3 Pack),46.333333333333336,,
23707,Wilson Starter Orange (48 Pack) - 8-10 Years,"Dětské tenisové míče wilson starter orange (48 pack) - 8-10 years jsou tenisáky pro děti. Tenisové míče pro děti jsou větší a lehčí, aby nejmenším tenistům usnadnily nácvik techniky a fyzicky nezatěžovaly ruce. Perfektně se hodí pro tenisové trenéry a kluby právě na trénink dětí. Tlakované tenisové míče s větší pružností",https://www.sportega.cz/detske-tenisove-mice-wilson-starter-orange-48-pack-8-10-years/d23707,https://www.sportega.cz/detske-tenisove-mice-wilson-starter-orange-48-pack-8-10-years-23707.jpg,in stock,2199.0,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Wilson,Sportega > Tenis > Míčky > Míče pro děti,1370,"tréninkové nasazení,volný čas,školní aktivity",všechny povrchy,48.0,Tlakovaný,23707,https://www.sportega.cz/detske-tenisove-mice-wilson-starter-orange-48-pack-8-10-years/d23707,https://www.sportega.cz/detske-tenisove-mice-wilson-starter-orange-48-pack-8-10-years-23707.jpg,Wilson Starter Orange (48 Pack) - 8-10 Years,45.8125,8.0,9.0
65258,Wilson Triniti (4 pcs),"Tenisové míče wilson triniti (4 pcs) jsou tenisové míčky pro pestrou hru. Pamatuj, že míčky postupem času ztrácí své vlastnosti a je potřeba je pravidelně měnit, proto neuděláš chybu, pokud si koupíš dvě tři dózy do zásoby.",https://www.sportega.cz/tenisove-mice-wilson-triniti-4-pcs/d65258,https://www.sportega.cz/tenisove-mice-wilson-triniti-4-pcs-65258.jpg,in stock,229.0,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Wilson,Sportega > Tenis > Míčky,5103,zápasové a turnajové nasazení,všechny povrchy,4.0,Tlakovaný,65258,https://www.sportega.cz/tenisove-mice-wilson-triniti-4-pcs/d65258,https://www.sportega.cz/tenisove-mice-wilson-triniti-4-pcs-65258.jpg,Wilson Triniti (4 pcs),57.25,,
76771,Wilson Roland Garros All Court (4 Pack),"Tenisové míče wilson roland garros all court (4 ks) jsou ideálními parťáky pro hru na tvrdých površích, či koberci. Jsou vyrobené z odolné a trvanlivé plsti, která zaručuje životnost nejen na pár zápasů. Velkou výhodou těchto míčků je speciální materiál, který brání vlhkosti.",https://www.sportega.cz/tenisove-mice-wilson-roland-garros-all-court-4-pack/d76771,https://www.sportega.cz/tenisove-mice-wilson-roland-garros-all-court-4-pack-76771.jpg,in stock,179.0,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Wilson,Sportega > Tenis > Míčky,16063,zápasové a turnajové nasazení,všechny povrchy,4.0,Tlakovaný,76771,https://www.sportega.cz/tenisove-mice-wilson-roland-garros-all-court-4-pack/d76771,https://www.sportega.cz/tenisove-mice-wilson-roland-garros-all-court-4-pack-76771.jpg,Wilson Roland Garros All Court (4 Pack),44.75,,
13626,Tretorn Academy Orange (3 Pack),"Dětské tenisové míče tretorn academy orange (3 pack) jsou tenisáky pro děti. Tenisové míče pro děti jsou větší a lehčí, aby nejmenším tenistům usnadnily nácvik techniky a fyzicky nezatěžovaly ruce. Perfektně se hodí pro tenisové trenéry a kluby právě na trénink dětí. Tenisáky s dlouhou životností na rekreační tenis",https://www.sportega.cz/detske-tenisove-mice-tretorn-academy-orange-3-pack/d13626,https://www.sportega.cz/detske-tenisove-mice-tretorn-academy-orange-3-pack-13626.jpg,in stock,159.0,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Tretorn,Sportega > Tenis > Míčky > Míče pro děti,867,"tréninkové nasazení,začínající hráči",všechny povrchy,3.0,Netlakovaný,13626,https://www.sportega.cz/detske-tenisove-mice-tretorn-academy-orange-3-pack/d13626,https://www.sportega.cz/detske-tenisove-mice-tretorn-academy-orange-3-pack-13626.jpg,Tretorn Academy Orange (3 Pack),53.0,8.0,9.0
33482,Wilson Starter Red (36 Pack),"Dětské tenisové míče wilson starter red (36 pack) jsou tenisáky pro děti. Tenisové míče pro děti jsou větší a lehčí, aby nejmenším tenistům usnadnily nácvik techniky a fyzicky nezatěžovaly ruce. Perfektně se hodí pro tenisové trenéry a kluby právě na trénink dětí. Tlakované tenisové míče s větší pružností",https://www.sportega.cz/detske-tenisove-mice-wilson-starter-red-36-pack/d33482,https://www.sportega.cz/detske-tenisove-mice-wilson-starter-red-36-pack-33482.jpg,in stock,1579.0,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Wilson,Sportega > Tenis > Míčky > Míče pro děti,8600,"tréninkové nasazení,volný čas,školní aktivity",všechny povrchy,36.0,Tlakovaný,33482,https://www.sportega.cz/detske-tenisove-mice-wilson-starter-red-36-pack/d33482,https://www.sportega.cz/detske-tenisove-mice-wilson-starter-red-36-pack-33482.jpg,Wilson Starter Red (36 Pack),43.861111111111114,5.0,8.0
21548,Wilson Starter Orange (3 Pack),"Dětské tenisové míče wilson starter orange (3 pack) jsou tenisáky pro děti. Tenisové míče pro děti jsou větší a lehčí, aby nejmenším tenistům usnadnily nácvik techniky a fyzicky nezatěžovaly ruce. Perfektně se hodí pro tenisové trenéry a kluby právě na trénink dětí. Tlakované tenisové míče s větší pružností",https://www.sportega.cz/detske-tenisove-mice-wilson-starter-orange-3-pack/d21548,https://www.sportega.cz/detske-tenisove-mice-wilson-starter-orange-3-pack-21548.jpg,in stock,155.0,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Wilson,Sportega > Tenis > Míčky > Míče pro děti,3939,"tréninkové nasazení,volný čas,školní aktivity",všechny povrchy,3.0,Tlakovaný,21548,https://www.sportega.cz/detske-tenisove-mice-wilson-starter-orange-3-pack/d21548,https://www.sportega.cz/detske-tenisove-mice-wilson-starter-orange-3-pack-21548.jpg,Wilson Starter Orange (3 Pack),51.666666666666664,8.0,9.0
